index,group,item,what_spec,context_audio,continuum_step,stim_audio,continuation_audio,affirmative_cont,target_image,comp_image,,,,,,
1,no_shift,flower,spec,flower.wav,1,flower-2-2-1.wav,flower1_cont.wav,yes,flower_good.jpeg,flower_bad.jpeg,,,,,,
2,no_shift,flower,spec,flower.wav,10,flower-2-2-10.wav,flower2_cont.wav,no,flower_good.jpeg,flower_bad.jpeg,,,,,,
3,no_shift,rabbit,spec,rabbit.wav,1,rabbit-2-3-1.wav,rabbit1_cont.wav,yes,rabbit_good.jpeg,rabbit_bad.jpeg,,,,,,
4,no_shift,rabbit,spec,rabbit.wav,10,rabbit-2-3-10.wav,rabbit2_cont.wav,no,rabbit_good.jpeg,rabbit_bad.jpeg,,,,,,
5,no_shift,baseball,spec,baseball.wav,1,baseball-2-3-1.wav,baseball1_cont.wav,yes,baseball_good.jpeg,baseball_bad.jpeg,,,,,,
6,no_shift,baseball,spec,baseball.wav,10,baseball-2-3-10.wav,baseball2_cont.wav,no,baseball_good.jpeg,baseball_bad.jpeg,,,,,,
7,no_shift,cake,what,whatsthis.wav,1,cake-2-3-1.wav,cake1_cont.wav,yes,cake_good.jpeg,cake_bad.jpeg,,,,,,
8,no_shift,cake,spec,cake.wav,10,cake-2-3-10.wav,cake2_cont.wav,no,cake_good.jpeg,cake_bad.jpeg,,,,,,
9,no_shift,waspsnest,what,whatsthis.wav,1,waspsnest-2-3-1.wav,waspsnest1_cont.wav,yes,waspsnest_good.jpeg,waspsnest_bad.jpeg,,,,,,
10,no_shift,waspsnest,spec,waspsnest.wav,11,waspsnest-2-3-11.wav,waspsnest2_cont.wav,no,waspsnest_good.jpeg,waspsnest_bad.jpeg,,,,,,
11,no_shift,cat,what,whatsthis.wav,1,cake-2-3-1.wav,cat1_cont.wav,yes,cat_good.jpeg,cat_bad.jpeg,,,,,,
12,no_shift,cat,spec,cat.wav,11,cake-2-3-11.wav,cat2_cont.wav,no,cat_good.jpeg,cat_bad.jpeg,,,,,,
13,no_shift,hedgehog,what,whatsthis.wav,1,hedgehog-2-3-1.wav,hedgehog1_cont.wav,yes,hedgehog_good.jpeg,hedgehog_bad.jpeg,,,,,,
14,no_shift,hedgehog,spec,hedgehog.wav,11,hedgehog-2-3-11.wav,hedgehog2_cont.wav,no,hedgehog_good.jpeg,hedgehog_bad.jpeg,,,,,,
15,no_shift,panda,what,whatsthis.wav,2,panda-2-3-2.wav,panda1_cont.wav,yes,panda_good.jpeg,panda_bad.jpeg,,,,,,
16,no_shift,panda,spec,panda.wav,11,panda-2-3-11.wav,panda2_cont.wav,no,panda_good.jpeg,panda_bad.jpeg,,,,,,
17,no_shift,cellphone,what,whatsthis.wav,2,cellphone-2-3-2.wav,cellphone1_cont.wav,yes,cellphone_good.jpeg,cellphone_bad.jpeg,,,,,,
18,no_shift,cellphone,spec,cellphone.wav,12,cellphone-2-3-12.wav,cellphone2_cont.wav,no,cellphone_good.jpeg,cellphone_bad.jpeg,,,,,,
19,no_shift,hammer,what,whatsthis.wav,2,hammer-2-3-2.wav,hammer1_cont.wav,yes,hammer_good.jpeg,hammer_bad.jpeg,,,,,,
20,no_shift,hammer,spec,hammer.wav,12,hammer-2-3-12.wav,hammer2_cont.wav,no,hammer_good.jpeg,hammer_bad.jpeg,,,,,,
21,no_shift,horse,what,whatsthis.wav,2,horse-2-2-2.wav,horse1_cont.wav,yes,horse_good.jpeg,horse_bad.jpeg,,,,,,
22,no_shift,horse,spec,horse.wav,12,horse-2-2-12.wav,horse2_cont.wav,no,horse_good.jpeg,horse_bad.jpeg,,,,,,
23,no_shift,butterfly,what,whatsthis.wav,2,butterfly-2-1-2.wav,butterfly1_cont.wav,yes,butterfly_good.jpeg,butterfly_bad.jpeg,,,,,,
24,no_shift,butterfly,what,whatsthis.wav,13,butterfly-2-1-13.wav,butterfly2_cont.wav,no,butterfly_good.jpeg,butterfly_bad.jpeg,,,,,,
25,no_shift,reindeer,what,whatsthis.wav,2,reindeer-2-3-2.wav,reindeer1_cont.wav,yes,reindeer_good.jpeg,reindeer_bad.jpeg,,,,,,
26,no_shift,reindeer,what,whatsthis.wav,14,reindeer-2-3-14.wav,reindeer2_cont.wav,no,reindeer_good.jpeg,reindeer_bad.jpeg,,,,,,
27,no_shift,umbrella,what,whatsthis.wav,2,umbrella-2-2-2.wav,umbrella1_cont.wav,yes,umbrella_good.jpeg,umbrella_bad.jpeg,,,,,,
28,no_shift,umbrella,what,whatsthis.wav,15,umbrella-2-2-15.wav,umbrella2_cont.wav,no,umbrella_good.jpeg,umbrella_bad.jpeg,,,,,,